userName,at,content
Christian Matanari,2024-10-27 15:10:13,Kasih tim yg bener gooblook Event banya tim kek ank tololll
aldi risaldi,2024-10-27 15:09:29,Lose mulu
Noval Zilfan,2024-10-27 15:09:20,"Game asu ,gua udh jago dapetin tim nya dark sistem Mulu id sultan420 mulai detik ini gua pindah game."
LUTHFI x,2024-10-27 15:09:13,Monton tambuk ngetot asu
Batarox,2024-10-27 15:09:12,"Apa sih moonton ga jelas ngasih team ga pernah bener, males gw main ml mending tinggal Lin aja ni game emang game ga ber man faat .cuma bikin orang GILA"
Liu Quanxi,2024-10-27 15:08:04,"apalah game ga sesuai, masa gue hightier setim sama low tier sih lawak. gue setim sama bot trs sedangkan musuh op' semua, ini yg lo bilang penyasuaian? lucu bgt haha"
doan jrs,2024-10-27 15:07:44,No game
restualaksyahf,2024-10-27 15:07:39,DARK SISTEM
damandaka eldoreta,2024-10-27 15:07:09,"Sering sekali lag, jgn ada yg kasih bintang, sesuai dgn winrate yg rusak gehara sistem moonton Bug lag lag terus."
Sabar Parulian Purba,2024-10-27 15:06:59,"Moonton idiot.....kasih tim anak. Njg semua lawan nya pada player""glory......padahal di jaman dulu nga gini"" Babi emang ini Game"
Suparudin Supar,2024-10-27 15:06:49,Mantap
fullmoon ok,2024-10-27 15:06:00,Unistal mobile legen kecewa doang kalo bikin lejuaran tim esport kaya udah di setting .....LIHAT TIM YANG LAGI VIRAL DI BUT MENANG BIAR ML ADA YANG MAIN TERUS MPL SETINGAN SEMUA KECEWA BERAT....
Floxiyy WandHert,2024-10-27 15:05:55,game babi
Ahmad Romdani,2024-10-27 15:05:51,Lostrek
PRIYO ABAS,2024-10-27 15:05:36,GAME SETTINGAN DOANG
Eko Gumanti,2024-10-27 15:05:09,"Mohon dibantu masalah soal sinyal min.... Padahal jaringan udh bagus tpi masih juga merah"" jaringan ny main pun jdi terganggu,udh ganti hp,pasang wifi jaringan udh bagus,masih juga ngeleg pas main giliran mati bagus jaringan nya."
Taufiq Andrian,2024-10-27 15:04:38,Musuh ga pernah seimbang
Hadik Abdul kholiq,2024-10-27 15:04:27,Yang main ml banyak tapi kenapa satu tim ama bot tay
Anhar,2024-10-27 15:03:20,"tiap pembagian match solo rank selalu dapet dark system, mohon perbaiki dalam pembagian match"
Rdn Masdan,2024-10-27 15:03:18,"Selalu mendapatkan team yg BOT buang"" Waktu"
Fikri Abak,2024-10-27 15:03:17,"Jaringannya kaya Kon padahal yang lain lancar"", aja"
Fadzra Kece,2024-10-27 15:03:11,Plis jangan ada drak sistym ya monton jika ada drak sistym saya akan mehapus ml dan mendownload horor of Kings
Naysha Siregar,2024-10-27 15:02:49,aku gak suka geme mobile legend karena aku palayer epep geme mobile legend geme jelekk 😒😒😒 ang ang ang mobile legend geme sampah labih enak main epep dari pada main mobile legend geme sampah
Ramdhan Maulana _RM,2024-10-27 15:02:44,Gua kira moonton pelit gacha cuma di Mobile legend doang ternyata di game moonton lainnya juga sama haha ngeri bwahaha
Yantha chanel,2024-10-27 15:02:31,Dapat teman ngetrol trus. Tolongdi perbaiki monton
Nabilla Anggraini,2024-10-27 15:02:15,"Ga butuh skin gratis montod, Hilangin drak sistem yang makin menjadi-jadi,mantan glory harusnya lawan mantan glory gitu juga dengan tim.masa iya mantan glory kawannya legend abadi honor abadi mawi abadi.gajelas lu monton emang game asu.pindah game ke hok gua ajq"
kaiffa yohana,2024-10-27 15:01:59,"Tolong atasi masalah lag, ane udah pake fast mode malah nambah nge lag, mohon bantuannya"
Rahayu,2024-10-27 15:01:24,"benerin keseimbangan match making dulu jangan update yg gak perlu, setiap main dikasih team aneh mulu heran gw"
Anisa Dwi Hapsari,2024-10-27 15:01:19,apala muntu masa wlwl mulu minimal kasi gw ws
Urang minang,2024-10-27 15:00:56,sering lag saat tim fight
Alan Arohman,2024-10-27 15:00:54,game rusak monton tololll asuuu
。hasbi M.I.メ,2024-10-27 14:58:23,Pindah HOK aj
Wira 77,2024-10-27 14:58:10,Minus banyak dark sistem termasuk gua
Jagad Kento,2024-10-27 14:57:58,Mlbb sangat bagus
arkan pradika,2024-10-27 14:56:56,Game ngelag mending gak download kalo gua tau gua cuma 1 game doang cuma ngelag main ngelag kenapa lu gak hapus ni game burik gak ada harapan lu kalo kurang duit kerja miskin
Huy Huy,2024-10-27 14:56:12,Moonton anjg semoga bangkrutn Dapat tim goblog semua
Alif raisa112,2024-10-27 14:56:08,Bagi bagi skin epic lagi lah moonton
Hairul Asril,2024-10-27 14:56:06,Game sampah mengundang ujaran kebencian
Marion Paparang,2024-10-27 14:55:56,Kima
Salsabila Salsa,2024-10-27 14:55:27,"Tolong player nya d tim musuh jago sdangkan d tim gua cupu semua , kalo kaya gini terus aku main di honor of king aja deh cape gua siang malam kaya gini terus"
Ahmad Nasihin Nasihin,2024-10-27 14:55:16,Bagus banget
ONIC srya 123,2024-10-27 14:53:48,MLBB setia di hati game paling bagus di play store
Dipta Sutrisno,2024-10-27 14:51:29,GAME TOLOL !! DARI DULU MASALAHNYA CUMA SATU MATCHING TIDAK SEIMBANG.. MUSUH FULL MANTA IMO DIKASIH TIM FULL X HONOR.. WAKTU BANYAK TERBUANG SIA2
Purnama Aqiya Aqiya,2024-10-27 14:50:56,Moonton babi mentang mentang kalah...pasti selalu di kasih tim yg sering kalah juga
Yanti Paula,2024-10-27 14:50:49,Ml pilikasih KLO banya tup citer pun TK di Ben main TK jelas pun KLO kita lapor malah dibilang TK ada mengunakan cit giliran main serius TPI di keroyok melulu mati melulu dilaporin langsung sekor kurang banyak mlas main ml ini TK jelas
Selva Indrianie,2024-10-27 14:50:33,"Makin hari makin banyak draksystem,gajelas banget gamenya!! Update trs Yang main Draksystem bacit"
Andri Wae,2024-10-27 14:50:14,Solo sulit
Chizuru メ itsukiღ,2024-10-27 14:49:31,Game haram banyak drak sistem monton kurangi drak sistem nya
Dharma Kusuma,2024-10-27 14:49:25,Game biadab dapet tim lemah dapet musuh jago setara pro player ngotak lah moonton
Firstila Radhwa,2024-10-27 14:49:24,"saya suka game nya,seru sekali tetapi sinyal saya jelek teruss."
Muhamad Alfis,2024-10-27 14:49:18,ini permaonan yah bagustapi ku kasih 3
Samsul abidin,2024-10-27 14:48:38,Ga asik banget sekali drak ga bisa menang jadi mau pindah game
Sifa Nurohmah,2024-10-27 14:48:35,i like this game
Narendra (NPC),2024-10-27 14:48:24,"Saran update,ngasih tim yang sepadan itu aja"
Ferdi Rafa,2024-10-27 14:48:22,DARK sistem anjay
Arij Sablon,2024-10-27 14:48:17,Bagus
Rifki Pradana,2024-10-27 14:47:25,"Nek kei lawan ki seng sekirane iso dilawan su. Main 10jam lawan e mithic kabeh, bolone koyo warrior. Nak pengen seng main ml iseh akeh adil o nak ra adil ki buosok, mateni uwong, rasah payu wae"
Cucungukz 081,2024-10-27 14:47:20,"Dikasih team dengan role yang sama mulu, tolong lah diubah sistem matchmakingnya, setidaknya bikin sistem kayak di game sebelah bisa pilih role."
Ghonzali Jepara,2024-10-27 14:47:06,Kalo ngasih tim yang bener dikit ga setara sama musuh nya kalo main sering gendong mulu
Asep Sunandar,2024-10-27 14:46:33,Good
Dhyen Campa,2024-10-27 14:46:09,Gem favorit
Raisah P Zahira,2024-10-27 14:45:41,Bagus
Steven Salim,2024-10-27 14:45:06,"rᥲᥒkᥱძ ᥆ᥒᥣᥡ Lose = -2 (berikutnya -(2x + 1), Win = +1 (berikutnya +(1x + 1),Team beban = -(lose+1) (berikutnya -(3x+1), dapet skin = +2, Bank = -115 (last +4) >-200 = hapus sementara (reminder) >-300 = hapus permanen"
